version,migration_name,classification,canonical_active_match,archived_path
20260710020151,admin_tour_event_builder,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710020151_admin_tour_event_builder.sql
20260710023852,fix_tours_rls_recursion,superseded_conflicting_variant,20260710024052_fix_tours_rls_recursion.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710023852_fix_tours_rls_recursion.sql
20260710030000,harden_tour_events_org_rls,superseded_conflicting_variant,20260710032640_harden_tour_events_org_rls.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710030000_harden_tour_events_org_rls.sql
20260710031000,harden_tour_satellite_rls,superseded_conflicting_variant,20260710032714_harden_tour_satellite_rls.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710031000_harden_tour_satellite_rls.sql
20260710120000,site_map_geometry_owner_rls,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710120000_site_map_geometry_owner_rls.sql
20260710125211,fix_tour_events_event_fk_to_events_v2,superseded_conflicting_variant,20260710125120_fix_tour_events_event_fk_to_events_v2.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710125211_fix_tour_events_event_fk_to_events_v2.sql
20260710140000,site_map_zone_ownership,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710140000_site_map_zone_ownership.sql
20260710192849,site_map_rls_no_recursion,superseded_conflicting_variant,20260710193033_site_map_rls_no_recursion.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710192849_site_map_rls_no_recursion.sql
20260710195437,employment_assignments_staff_shift_id,superseded_conflicting_variant,20260710200008_employment_assignments_staff_shift_id.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710195437_employment_assignments_staff_shift_id.sql
20260711013130,artist_profiles_url_slug,superseded_conflicting_variant,20260711013527_artist_profiles_url_slug.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260711013130_artist_profiles_url_slug.sql
20260711020000,artist_event_producer,superseded_conflicting_variant,20260711024815_artist_event_producer.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260711020000_artist_event_producer.sql
20260711152143,events_add_description_is_public,superseded_conflicting_variant,20260711152203_events_add_description_is_public.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260711152143_events_add_description_is_public.sql
20260711153000,events_add_description_is_public,superseded_conflicting_variant,20260711152203_events_add_description_is_public.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260711153000_events_add_description_is_public.sql
20260711154500,events_drop_conflicting_v2_status_check,superseded_conflicting_variant,20260711152643_events_drop_conflicting_v2_status_check.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260711154500_events_drop_conflicting_v2_status_check.sql
